"","Rating","Days","Verified","Review.text","Vine.Voice","Year","DaysSimple"
"66",5,731577,TRUE,"I'm not going to say why I cried, because that would spoil the whole book (warning: DO NOT, I REPEAT, DO NOT read the review: Harry Potter Rocks! A Kid's Review. It gives away the ending!) But, I will say that that ending made me CRY! And I'm nearly 21 years old.How does one go about describing the Harry Potter books? They're almost indescribable! These books are so full of every emotion, every type of person and creature. They draw you in as the pensieve does into one's thoughts. As Harry witnesses Snape's worst memory (and trust me, you like I will actually feel sympathy towards Snape, believe me!) it is as though he is standing right there amongst his father, Sirius, Lupin and Wormtail. This is how I feel when I read these books. I feel as though I am right there with Harry, Ron and Hermione through every struggle, every injustice, every adventure no matter how dark or hopeless. I cry their tears, I burn with their sense of injustice, my heart leaps with theirs at every victory.But on to the story. The 5th year is the worst yet, no one will admit that You-Know-Who is back, all summer long The Prophet is making Harry look like an attention-grabbing, lying lunatic. Meanwhile, Harry has not seen his friends or Dumbledore all summer, and when they write they are incredibly vague, understandably frustrating after all the horrors Harry witnessed at the end of his 4th year. Then, before you know it, he is under magical attack on Privet Drive!Matters don't improve, Harry risks being expelled from no fault of his and Hogwarts is now under strict control from the Ministry of Magic, led by none other than the blind-to-all-facts Cornelius Fudge. Hagrid has disappeared and Harry is thwarted left and right in all the things he loves and needs to do!I don't understand how anyone could say that these books have been going downhill since the last 150 pages of year 4!? In my opinion, Prisoner of Azkaban was the best yet after years 1 & 2 and Goblet of Fire was better still! This book now is more on the lines of the end of Goblet of Fire, things are getting darker and more ominous and more difficult for everyone. And this is appropriate! With the return of the Dark Lord (eww) we must naturally expect that life will no longer be as fun. But lighten up, there are some truly funny scenes, and a little romance too! But, times are just not as carefree (if they could ever be called so) as they used to be.Someone said that Harry has no sense of humor anymore. I ask you, would you be full of laughs if you had seen the return of free magic's WORST ENEMY, seen someone die and then have to endure a year of people not believing you, teachers trying to discredit you, people you liked turning against you, insanity charges, visions of You-Know-Who doing his dirty work, all your favorite things being taken away? How would you feel if you thought all the world was against you??? These are the struggles Harry must endure, he is run through the mill, his limits are tested to the max, and we all must hope that he is able to survive it all. I'm not sure I could take it and I'm presently 6 years older than him! As they say, what doesn't kill you only makes you stronger, this will be Harry's test in the future books.Seems so real, doesn't it? Rowling has a style that makes you believe she is writing a biography! But it's more like watching a film of someone's life and walking right into that film and feeling every single thing that they feel, being in the same dangers, loving and caring about the same friends and almost-family. It's really like what Harry felt when he looked through Voldemort's (shudder) eyes and felt what he was feeling, did what he did but was powerless to stop it.Harry is tested to his limit in the Order of the Phoenix, he endures things no human should have to suffer, and he will receive a warning that may change his views and way of life forever. I don't envy poor Dumbledore, on his shoulders seems to rest the weight of the world, and now Harry must truly shoulder some of that weight. Dumbledore can no longer protect Harry from the worst, and in trying to protect him from the ultimate truth up to this point, Dumbledore may have made a very grave and horrible mistake.This book is wonderful, heart-breaking, astounding, depressing, and truly amazing all at the same time. World-Class author, kudos Ms. Rowling! How could I ever have been skeptical of these books??? They are now amongst my ALL-TIME favorites! I hope book 6 is released soon, I'm not sure I can stand the wait!",FALSE,2004,1856
"71",5,731259,TRUE,"So... now that the tumult and the shouting have largely died, what is left to say about this book?  Some readers who devoured the first four Potter books with delight had a problem with this one.  It's... well... different.  And some readers can't handle different.  What's happened to Harry?  Well, adolescence has happened, and in a big way.  He's fifteen now, midway between childhood and manhood; it's a difficult age for anyone, and probably more so if you've had a homicidal wizard on your case for the last four years.  Sure, Harry's moody, irritable, downright unbearable at times, who wouldn't be, if they were in his shoes?  And so we find Harry at the opening of HP5 in his usual midsummer funk, desperate to get back to Hogwarts and away from the loathsome Dursleys.  But this time, the dark forces after Harry are getting a tad impatient; they don't want to wait for him to return to Hogwarts before raising all kinds of cain; the dreaded Dementors attack Dudley right in his own backyard.  Driven off by Harry in the nick of time (one wonders why Harry didn't just let the Dementors get Dudley -- and how did Aunt Petunia know what the Dementors were anyway??), Harry finds himself hauled before the Ministry of Magic charged with violating the laws against underage wizardry.  But he's vindicated by Dumbledore's intervention in his behalf and spends the rest of the summer prior to his return to Hogwarts at the headquarters of the Order of the Phoenix, an intrepid group of wizards out to thwart the evil machinations of Voldemort and his demonic adherents, meeting in the home of Harry's godfather Sirius Black.  We find out the fascinating tidbit that not only are most of the wizarding families related to each other by blood or marriage, but Black himself is related to -- of all people -- the evil Malfoy clan.We remember in Book Three that ditzy Professor of Divination Trelawney, in the middle of one of her interminable reading of the tea-leaves that looked like so much mush to Harry, Ron and Hermione (Divination wasn't one of their best subjects) all of a sudden went into a fit and made one of her few geniune predictions: that Voldemort would return ""greater and more terrible than before"".  She wasn't kidding.  He's back, all right, along with some of his most dangerous followers whom he's managed to spring from Azkaban, and they're all out for blood, Harry's especially.Some new faces are introduced in this volume; we meet Sirius's incredible mother, a vicious harpy who makes the Wicked Witch of the West look like a choir girl; a pink-haired punk rocker in the Order of the Phoenix named Nymphadora Tonks (""Wow! a FIREBOLT!?"" she gasps when she sees Harry's broom; making us wonder if a Firebolt is the Lamborghini of broomsticks); a somewhat spacy fourth-year Hogwarts student named Luna Lovegood (no wonder she's called ""Loony"") who, weird though she appears, is the only person who seems to understand where Harry is coing from; and, overshadowing all, a pint-sized witch named Dolores Umbridge, oozing evil from every rotten pore, who usurps Dumbledore's position at Hogwarts as Headmistress and seems to be on a personal mission from Voldemort to do Harry and his friends in.  But Harry isn't going down without a fight; he and his friends form their own secret group to learn advanced defenses against the dark arts, which they will put to good use in the book's climactic conflict in the Minister of Magic when they come face to face with Voldemort and some of his more unsavory adherents.Besides having to deal with the noxious Umbridge (one really wants to tie a bag of firecrackers to this lady and watch her explode), Harry has enough on his plate just being fifteen with a crushing course load and a crush on Cho Chang, who turns out to be as shallow as she is pretty.  It's an endearing characteristic of Harry that, skilled as he is in wizardry, he doesn't have a clue about girls (asked by Ron to describe his first kiss with Cho, he says ""wet""), and when Hermione tries to explain to him how Cho feels when he talks about other girls to her, she might as well be speaking Tagalog.  Harry also has to come to terms, like all adolescents, that at least one of his parents wasn't the paragon he imagined him to be; when he inadvertently blunders on Snape's worst memory, and discovers why Snape hated his father so much, we empathize with his shock at realizing that Potter Sr. was a world-class jerk at fifteen.  (Like most fifteen-year-olds, he grew out of it.)Rowling left a lot of threads hanging at the end of Book Five and this bothered a lot of readers, but it only left this one on tenterhooks waiting for Books Six and Seven.  We suspected from the beginning that it will finally come down to a fight to the finish between Harry and Voldemort, but all kinds of delightful subplots are pending in the meantime.  And some of her minor characters, especially Neville Longbottom, are developing in all kinds of interesting and unexpected ways.  Yes, someone close to Harry dies, and probably everyone and his brother knows who it is by now, but just in case there is someone out there who is still clueless, I'm not saying who.  Just let Rowling keep the magic coming through two more books, and after Book Seven is finally released, I will be among the multitudes clamoring for a sequel.  There just can't be a world without Harry Potter.",FALSE,2003,1538
"74",5,731191,TRUE,"I was lucky enough to be in Britain at midnight, June 21/22, when every child and half the adults of Harry's native land appeared to be at bookstores grabbing HARRY POTTER AND THE ORDER OF THE PHOENIX off the shelves.  Having a long series of train journeys that weekend, I finished its hefty 870 pages in under 36 hours.  As I did so, I imagined millions of readers just like me, unable to put the book down, delighted that Rowling's creative imagination continues to astonish, and that Harry's story yet again takes us into country we could hardly imagine.Harry's different almost from the first pages of this book - all those adolescent traumas we recall, the sense of rage and frustration at being treated like a child when the young adult demands attention, the worries about Voldemort and what appears to be a conspiracy to undermine Dumbledore and others fighting against him, his own insecurities, the stupidity of the Ministry of Magic which, ostrich-like, keeps its head in the sand and refuses to accept that the Wizarding World is once again in terrible danger.  Throughout, he must focus on ""what to do with the rest of his life,"" with the upcoming O.W.L. examinations which lead inevitably to a grown-up career.  The 'good guys' (including Sirius, Mad-Eye Moody, Lupin, and several new characters) who belong to the ""Order of the Phoenix"" turn out to be both more and less than Harry had once believed.  Good and bad are now seen in shades of grey, not black and white.  Most importantly, Harry discovers something about his father that upsets him terribly, and although we know that the truth is not yet fully revealed, his sense of insecurity is palpable.  Hogwarts itself is taken over by those who will stifle the truth at any cost and Dumbledore seems powerless to stop it.  The split between fighting Voldemort and those denying he exists even strikes the Weasley family, and the book ends with a bitter and terrifying battle in which a major character is betrayed to Voldemort's never-ending efforts to destroy.  Yet with all the dangers, the book finds its own positive ending in which much has been lost, but the best remains.Amidst these serious challenges, Rowling's light-hearted imagination triumphs, full of wonderful images of bad-hearted house-elves, getting pesky doxies out of the curtains thanks to Gilderoy's Lockhart's ""Guide to Household Pests,"" the final comeuppance of the infuriating Inquisitor, Dolores Jane Umbridge (one of the best villain-esses ever penned), career-announcements such as ""HAVE YOU GOT WHAT IT TAKES TO TRAIN SECURUITY TROLLS?"" and infinitely more.  Meanwhile, Harry learns that he can find sympathy even for Professor Snape and the Dursleys, while his true friendships are what will help him survive as we travel deeper into the perils of Voldemort. The Disillusionment Charm works both ways.While the humor and imagination is still triumphantly in evidence, HP5 continues Harry's journey into adulthood with sensitivity, understanding, humor, fright, change and loss. The boy who comes out of the book is still the Harry we love, but strengthened, older, and learning all the time.  Meanwhile, Voldemort is even more frightening and the challenges our heroes face are no longer those of childhood.As in all her books, Rowling shows an amazing sensitivity to the concerns of our young heroes in each stage of their Hogwarts life.  I can't believe Rowling pulled it off AGAIN (after all the doubts and the long wait) but she's as surely on the right track as ever, and now we must all wait with unbelievable impatience to see what Harry Does Next.",FALSE,2003,1470
"79",3,731184,TRUE,"Sigh.When JK Rowling was a miserable, divorced welfare mother, she wrote about a beautiful, magical world that was fun to escape to.  There were exciting landscapes & buildings, funny magical creatures, a school that everyone would want to attend, etc.  Harry, a Dickensonian type orphan, was able to escape to this world and find friends, prizes, and glory.  The writing was in a charming, chatty style, that lingered lyrically on the better parts of the wizarding world.  Leisurely descriptions were intermingled with tightly written suspense and action.  Ahh...Now JK Rowling is richer than the Queen of England, has a new marriage and a new baby.  Now she feels free to explore the darker side of this magical world and Harry's adolescent crisis.  She also is feeling somewhat burdened by the pressure to get these books out.  The result?  Harry is in a bad temper.  He has too much homework.  Not only do the Dursley's torture him, he is tortured in detention.  He snaps at his friends.  They bicker with each other.  He feels terribly sorry for himself.  He is misunderstood.There are few if any funny, happy scenes in this book.  Harry wins no prizes and gets no glory.  Fortunately, at least Ron does, which is nice.Unlike JK Rowling, I have not passed into a better life.  I was still hoping for a beautiful escape.  The beginning of this book was so dismal I almost gave up on it.  Though, having waited so long for it, I had to plug along.The action did start really picking up in Chapter 16, so I was glad I had continued.The writing style for the action parts is still nice and tight -- definitely a page turner.  Unfortunately, the leisurely descriptions are reserved for Harry being tortured rather than for romantic views of the castle or charming magical creatures.  You can't criticize Rowling's style at all.  She's a great writer.  She's just in a different place from me now.I hope this isn't a spoiler, but the ending is hardly happy.  In an interview, JK Rowling asked a reporter about Harry, ""What makes you think he'll survive?""  I'm not sure anyone took her seriously at the time, but after this book you'll certainly have to.  If you are reading this to a young child, you may want to read ahead and reconsider.  I can imagine some kids being upset.Sigh.I think I'm still hooked.  I'll have to find out what happens in the next ones.JK:  Please don't kill Harry, Ron or Hermione off.  OK?  PLEEEEZE!!!Addendum:  The book does have some useful parts for teaching kids about dealing with anger.",FALSE,2003,1463
"80",5,731222,TRUE,"I am still reeling from the final pages of this book, as I'm sure most readers will be. The 5th book in the Harry Potter series is quite a bit darker than the other four. While it takes off like a shot with Harry and his cousin Dudley being attacked by Dementors, the next half of the book is filled with frustration. Harry and Dumbledore are being publicly slandered by the Ministry of Magic, who seek to control every aspect of the wizarding world, including Hogwarts. They even install a horrific little witch as an Inquisitor to make sure everything is running according to Ministry standards. All this while Voldemort is on the loose!It was only when I'd reached the height of MY frustration with the book and the near disintegration of happiness at Hogwarts that I realized what JK Rowling was up to. She brilliantly takes the reader on a ride through Harry's life. Just as he was expecting his 5th year at Hogwarts to be a wonderful escape from the mundanity of the Muggle world, so was I. And as Harry grows more and more frustrated with the Ministry of Magic's manipulations within Hogwarts, so did I. I completely empathized with everything Harry was going through, and I even became angry with Rowling, thinking, ""Why did she do this? Why is she making this happen?"" And then I realized what a HUGE message she was trying to convey: The Ministry of Magic (it seems to me) is very much like a governmental force. And in this book, the Ministry become very dictatorial. Even Dumbledore admits to making the mistake of incarcerating Sirius and Harry in their homes for their own protection, and he's not a party to the Ministry (thank heavens)! The whole book rings with the importance of freedom and being free to make one's own decisions. But it also speaks about knowledge and secrets, and the need we all have to know what's going on in our world. I really feel this book is a huge commentary on what's going on in the real world. It's almost eerie. And it's brilliant, and I would recommend it to anyone who has been shying away from it. It will break your heart, it will make you think, it will make you dream and hope, and there are moments (thank god for Fred and George) that you will laugh. It is a fantastic book.",FALSE,2003,1501
"85",4,731196,TRUE,"I've been a fan of HP since quite some time and waiting for this book was not easy, although never an option.In this 5th installment of the series, we see a more deep, dark side of Harry. He's more angsty than before, and although not as noble in some levels, he is still noble and trying to do the right thing.Some reviewers bashed Harry's ""arrogance"" and angster, I, however see it differently.Harry is 15 now, he is a teenager, asn apparently some of the reviwers forgot what it means to be a teenager. Me, being 22, still remember how full of anger I was, to the point where not even I could stand myself. So for me Harry's behavior is more than understandable. And considering what he has been through, I would dare to say that he took many things rather well.In this book HP notices how things dont always work with what is right. How unfair the world can be, and how short life is. He faces death is a more personal level, and I have to agree with another reviwer that said that a particular death in the book was very much below the belt since Harry has gone through way too much to add a death that is simply heartbreaking.Ron and Hermione are their ususal self, but if they keep fighting I might smack them both in the head.A new character (one of many) is introduced. Her name is Luna ""Loony"" Lovegood. She is so adorable an so weird, but she is extremely likeable.Hagrid's bits in the book were quite boring, i must painfully admit. But Umbridge makes up for this seldom bits.Dumbledore's character is also more elaborated. We get to see another side of his, and a side that can be viewed as weak, but I only see it as human, which only adds to the list of reasons why Voldemort only fears Dumbledore.Overall the book was fantastic, but more depressive and sad, than any of the other. I have to agree with JK in why did she made it so dark and that is because as we grow older life starts to lose it's fairness and we start seeing things under a different light, just as Harry is learning to.Poor Harry his journey is still not over, and more diffucult than probably anyone I know including myself.",FALSE,2003,1475
"87",5,731192,TRUE,"The day ""The Order of the Phoenix"" came into our home, it immediately became a volleyball between myself, my wife and my 8 year old son.  Woe betide the person who put this book down to grab a bite to eat or something to drink, because it would be immediately snatched up for avid reading by one of the other two.After several days (and one SERIOUSLY late night of reading), I just finished the book............EXCELLENT!Ms. Rowling's writing is improving with each book (which is to say nothing at all bad about the writing in the first one).  In ""The Order of the Phoenix"", I think she has wonderfully captured the rollercoaster of emotions that Harry goes through as an adolescent male.The story is getting more intricate (and darker) and the characters are developed nicely.  I particularly like the attention she gave to deepening both Ron and Hermione (and WHEN are THEY going to kiss?!?  Clearly there seems to be some mutual attraction developing between the two of them. :-)The magic is marvelous and the spells are spectacular.  A slight aside, I continue to be amazed at how Harry continues to struggle with trusting Dumbledore......and withholding information from him.  Dumbledore has saved Harry countless times, so the trust seems well-placed.  Personally, I think it's time to lay this literary device to rest.And yes, one of the characters dies.  A loss to the story line, but (whew!) not one of my favorites......All in all, just a wonderful read.I can't wait for the next volume to come out and I wish ""The Order of the Phoenix"" was longer.I can't think of any higher praise.Thank you, Ms. Rowling for the sweat and tears that went into this book!Cheers!",FALSE,2003,1471
"88",5,731190,TRUE,"The evolution of these series has gone from naive and maniqueist utopia to dark dystopia. As the world of magic seems to resemble more and more the world it inhabits (since we are all muggles, that is our world), a subtextual (an sometimes not so hidden discussion) emerges about class, race, slave labor and corruption. Since the second book, where we heard for the first time the racial slur ""mudblood"", this has become the center of the main conflict of the series. Race relations, racism and the pretense of purity are at the heart of the confrontation between the forces of good and evil. It is no surprise that this topic which is painfully present in the political debates all over Europe (with its history of Nazism and the resurgence of a Neo Nazi movement) has become the underlying conflict of the series. For the first time, the sorting hat gives us the real dirt on what lies behind the house divisions at Hogwarts, and it is racism what it talks about. As always, the humor is there, we even find ourselves in the presence of a tabloid newspaper ""The Quibbler"" which is no better than our muggle tabloids, and with it a parody, too close for comfort, of the role of the media, which had begun to take form also in ""The Goblet of Fire"".I particularly recommend a close reading of the description that Sirius Black does about his family and the family ties among the wizards. Nobody reading that chapter can escape the sensation that the analogy with the nazi philosophy is just below the surface.I certainly think that adults should read this series, because there is much to be discussed there, and much to be learned. I am glad that the Dickensian aspect of Rawling's series has gone beyond the most obvious traits and into a discussion of our society and what we have inherited from our recent past.Bravo!",FALSE,2003,1469
"89",5,731189,TRUE,"(This is a spoiler-free review.) Rowling's done it again--another standout book in the Harry Potter series. The fifth book--The Order of the Phoenix--lives up to the reputation of its predecessors and then some. In by far the darkest of the five tales, Harry faces more than just his nemesis Voldemort. Harry must face his own inner demons while coping with some more typically teenage issues.To be honest, I thought Harry a bit too angry for parts of the book--I kept wanting him to snap out of it and think more rationally. But when I think back to when I was fifteen--I don't know how much more logical my own thought would have been. So in that sense, Rowling does capture the turmoil of the teenage years brilliantly. I did enjoy Neville having a larger role in this book--I hope we continue to see more of him. I was a bit confused by the Luna character--not quite sure what we're meant to make of her. The villainous Dolores Umbridge (I do love Rowling's play-on-words) is wonderful and Snape continues to the be the most fantastic character you love to hate. Of course there is the one character who dies...very sad, I will miss that character greatly. The club set up by Harry and pals is really quite good and Draco Malfoy's continued annoying presence is always good for a laugh.  It was indeed great to see the staff all pulling together to support one another and Hogwarts when it was truly needed. And needless to say--Dumbledore is amazing!I read the book through in less than two days (and enjoyed every page, it was just so good!)--and now of course I am sorry I did so, seeing as it is over!  Perhaps I will just have to go back and re-read them all...hurry up with the next book!",FALSE,2003,1468
"94",5,731189,TRUE,"Harry's back, but he's not having fun.  He's not even at Hogwarts before he's attacked, threatened with expulsion, has his reputation smeared by the Ministry of Magic and the Daily Prophet, and sent off to a secret society that provides no answers to his questions.  Hogwarts treats him no better; Hagrid isn't there, Dumbledore barely acknowledges him, and the new defense against the dark arts teacher refuses to provide practical lessons - then proceeds to terrorize the school with her harsh and restrictive rules.  Even his budding relationship with Cho Chang runs hot and cold.All this plus Snape's and Malfoy's usual treatment of him pushes him to the breaking point in the fifth book in the series, and Harry spends most of his time frustrated and angry at the forces that are ruining his life.  With his usual outlet of Quidditch denied him, his only refuge is leadership of his own secret - and rule-breaking - society of students dedicated to learning to fight the dark arts.Despite the costs, Harry is willing to put it on the line to fight for what he believes in - even if it means a direct confrontation between himself and his friends against Lord Voldermort and his Death Eaters.  In the end, victory is his, but this time the price might be higher than Harry is willing to pay...Major secrets regarding the past history between Voldemort and Harry are revealed, as well as a few about the Dursleys.  Harry learns many harsh truths in this episode, including the fact that many people he looked up to weren't as perfect as he thought, and others he despises may have some right on their side.  In all, worth the wait it took to come out.",FALSE,2003,1468
